MMU	sex	HP_status	DOB	bx date	dam.MMU	dam.DOB	infant_weight_date	dam_weight_date	infant_weight_kg	dam_weight_kg	age_days_infants	age_months_dams	il_bal_pg.ml	il_plasma_pg.ml	h.pylori_load_cfu-gm	weaned
00462	F	HP_(-)	5/6/2013	12/12/2013	36773?	5/17/2005	1/13/2014	1/13/2014	1.68	9.40	252	103	19.104	1075.626	0	n
00460	M	HP_(+)	5/16/2013	12/11/2013	37487	9/19/2006	12/9/2013	12/19/2013	1.42	7.35	207	87	21.29905	611.793	7.25	n
00457	F	HP_(-)	5/21/2013	11/20/2013	35574?	4/20/2004	12/19/2013	12/19/2013	1.69	9.34	212	115	39.289	740.451	0	n
00458	F	HP_(-)	5/22/2013	11/22/2013	36631?	6/23/2005	11/22/2013	12/11/2013	1.54	8.98	184	101	NA	463.376	0	n
00459	F	HP_(-)	5/22/2013	11/22/2013	38590	7/23/2007	11/22/2013	12/3/2013	1.37	7.04	184	76	NA	258.416	0	n
00472	M	HP_(+)	5/22/2013	1/15/2014	36212	6/28/2005	1/15/2014	1/15/2014	1.66	7.35	238	102	13.083	144.653	5.92	n
00461	F	HP_(+)	5/24/2013	12/11/2013	38808?	3/25/2008	12/9/2013	12/9/2013	1.53	7.92	199	68	NA	704.55	7.66	n
00469	F	HP_(+)	5/24/2013	1/16/2014	37242?	6/7/2006	1/14/2014	2/10/2014	1.64	6.93	235	92	NA	1279.789	6.38	n
00473	F	HP_(-)	5/30/2013	1/16/2014	35707?	7/20/2004	1/14/2014	2/10/2014	1.73	9.03	229	114	20.1005	608.508	0	n
00479	M	HP_(-)	6/6/2013	1/30/2014	35779?	5/11/2004	1/27/2014	2/21/2014	1.50	6.75	235	117	28.9024	860.031	0	n
00463	F	HP_(-)	6/7/2013	12/12/2013	37551?	8/2/2006	12/6/2013	12/6/2013	1.37	7.32	182	88	11.5902	516.165	0	y
00477	F	HP_(+)	6/7/2013	1/29/2014	35616?	7/20/2004	1/27/2014	2/5/2014	1.63	7.03	234	114	NA	715.056	5.81	y
00470	M	HP_(+)	6/9/2013	1/15/2014	36893?	7/29/2005	1/15/2014	1/15/2014	1.76	7.17	220	101	13.914	365.177	4.33	y
00480	M	HP_(+)	6/13/2013	1/30/2014	35876?	7/14/2004	1/27/2014	2/7/2014	1.44	6.73	228	114	18.33	920.036	3.93	y
00466	F	HP_(+)	6/13/2013	1/14/2014	36599	5/31/2005	1/14/2014	1/14/2014	1.57	9.18	215	103	11.2014	642.148	3.81	n
00481	F	HP_(-)	6/20/2013	1/30/2014	36202?	6/28/2005	1/27/2014	2/7/2014	1.44	6.86	221	103	17.622	1743.575	0	y
00467	F	HP_(+)	6/20/2013	1/14/2014	38346?	5/8/2007	1/14/2014	1/14/2014	1.71	7.98	208	80	15.5112	425.782	6.09	n
00476	F	HP_(+)	6/26/2013	1/29/2014	36084?	7/7/2004	2/12/2014	2/12/2014	1.54	5.32	231	115	NA	476.431	5.48	n
00478	M	HP_(-)	6/27/2013	1/30/2014	35732?	7/20/2004	1/27/2014	2/13/2014	1.50	5.71	214	114	14.00625	625.548	0	y
00468	F	HP_(-)	7/1/2013	1/14/2014	37714?	7/18/2006	1/14/2014	1/14/2014	1.42	7.36	197	89	15.5112	660.911	0	n
00464	M	HP_(+)	7/7/2013	12/13/2013	39040?	4/17/2008	12/13/2013	12/13/2013	1.20	5.78	159	67	29.7968	431.059	8.13	n
00465	F	HP_(-)	7/9/2013	12/13/2013	39148?	6/16/2008	12/19/2013	12/13/2013	1.12	6.58	163	65	5.6655	136.693	0	y
00474	F	HP_(-)	7/26/2013	1/29/2014	35420?	3/30/2004	1/23/2014	1/23/2014	1.69	10.22	181	117	44.6992	459.984	0	n
00475	F	HP_(-)	9/1/2013	1/29/2014	35857?	6/1/2004	2/11/2014	2/11/2014	1.18	7.75	163	116	9.6789	NA	0	y
00471	F	HP_(-)	9/3/2013	1/15/2014	37503?	8/8/2006	1/15/2014	1/15/2014	0.98	5.02	134	89	25.0563	442.338	0	n
