"","LMiller_00458.Swab","LMiller_00459.Swab","LMiller_00461.Swab","LMiller_00462.Swab","LMiller_00466.Swab","LMiller_00467.Swab","LMiller_00468.Swab","LMiller_00469.Swab","LMiller_00473.Swab","LMiller_00476.Swab","LMiller_00477.Swab","LMiller_00481.Swab"
"3093cc8f14899ad0a903ad74583c1bed",0,0,0,0,0,0,0,0,0,0,0,0
"f93c45431d741ea9c35fbce351cf9514",0,0,0,0,0,0,0,0,0,0,0,0
"1b98b00b0fc819488d76aa0c09d57bcc",0,0,0,0,0,0,0,0,0,0,0,0
"09f9294499192d4eecf29e85501cc425",0,29,0,15,62,0,0,17,0,47,97,0
"86fc22982da07ab2a62935194f7c6f7d",0,0,11,0,21,76,0,0,0,0,0,14
"65b2fb4442cdc2200be457cce105df9d",0,0,0,0,58,455,0,0,0,0,0,0
"e63dfdbc2865ef713259926ddf0177d2",0,0,0,0,0,0,0,0,0,181,0,0
"164888579b3fc5fa594b1a3f92f6be9e",0,30,0,0,0,0,231,0,0,0,0,0
"5f78c6469abc75369906f18cf0642d99",0,0,0,0,0,0,0,0,531,0,0,50
"53f35fbed6b19a16f807663858c1fa87",0,0,0,0,0,0,0,0,0,0,0,0
"d48197bd92b8c6a3f172ac4dd30d91eb",438,42,35,70,120,101,82,80,112,70,62,45
"fc8675312fba62140c723a9429998935",14,0,0,0,0,0,0,0,0,0,0,0
"8b33fbebe288284c0dbd87b16f900e55",0,0,0,0,29,0,32,0,0,0,0,0
"eabdd9c6aafdfef7838ebf30c547c9d1",0,0,0,0,0,0,0,0,0,0,0,0
"e104c243ea51ee7b69c455fabfd7dad7",0,0,0,0,0,0,0,0,0,0,0,0
"1bdad0b4f050c7cbdd63f50b2e03fba7",0,0,0,0,0,0,0,0,0,0,0,0
"a64d7739eca07ac196f81d593895fb85",0,0,0,0,0,12,11,0,0,0,0,0
"daf2e8915db65fd0667cfb7ac598f6c5",0,0,0,0,91,18,0,0,0,0,12,0
"16b5557da675aa2b9f51caa7bf36581c",0,0,0,0,0,41,95,0,0,0,0,0
"abb93be57b1955eb8b72b962a1718ec9",0,0,0,0,146,0,0,0,0,0,0,0
"2a13ffc871287f78ec30a99e4b411039",0,120,0,11,114,124,0,0,0,0,0,9
"ad438df65d7ef791daf65c44cb24044a",0,0,24,0,0,0,0,0,0,0,0,0
"4b1ac280cc66f5e47268dc0d33312255",0,36,0,0,0,605,53,0,104,0,0,23
"2923feeb11dc42c2f0cb11cdbb8755c9",0,0,24,0,0,0,0,0,0,0,30,0
"dd7c265161dab3b6c1a7b745a32e4d31",0,56,0,0,258,126,87,0,0,20,30,0
"74c209388c56ee5a93fa225d6f973396",0,0,0,0,122,61,0,0,0,17,0,0
"099b8896f5c84538317d75c69d8422e5",0,0,0,0,0,0,0,0,0,0,269,0
"0436cf47bb12fc3027d94c39ae4d828a",0,0,0,0,0,102,546,0,0,0,0,47
"d04164791bd6b9ffcdf5b33ee129c6b5",0,0,94,56,832,2611,211,42,28,320,0,0
"f5e56e5421fe77fa207c8c6c4c16a4fb",0,0,0,0,16,251,66,0,0,38,0,17
"160db545d9379a772525027e489d8ef2",0,0,0,0,142,345,0,0,26,0,0,0
"75ed11f48189490dbb158e1e7e27b167",0,60,0,0,363,132,76,0,0,0,0,0
"36c80daae98d2dc716916ade3e852047",0,20,0,0,213,298,61,0,0,0,0,0
"a82d1e0712d504e0239634e3e5321438",0,0,0,0,0,0,0,0,0,0,0,15
"697c3c5367c73e389a9a034ce1d7b737",0,0,0,0,21,0,17,0,0,0,0,0
"d60593a75368eb2dd66ecbbec3313863",0,0,0,0,0,0,0,0,0,0,0,0
"f5ffd05c1e22f1cdcd3e9f384e8cb317",0,0,0,0,0,0,0,0,0,0,0,0
"290a870c0b153a6f31aa38df81ae5e9d",0,0,0,0,0,0,0,0,0,0,0,0
"416f578790b3f0667464e5cc97464a55",0,0,0,0,23,0,25,0,0,0,8,0
"647d11bd18aab6cfb71a394ecdab0c27",0,0,0,0,0,14,0,0,0,0,0,0
"b26833da2db0de54b3c32954c30fa48b",0,0,0,0,0,0,0,0,0,0,0,0
"b70052f1527ee64b4d266d671f5a14c3",5929,0,9,2380,33,206,1271,21,2571,444,3966,223
"401a1c628ed64d8c9241b7082e2cda0f",0,0,0,0,0,0,0,0,0,0,0,0
"f278701143062813b9855df7e5c03f24",0,0,0,0,0,0,0,0,0,0,0,0
"426a58d7fde254d8ff01fac25e36ff0e",23,0,0,0,0,0,0,0,0,0,0,9
"d1934d7c94c720cfef10dcdda067a628",0,0,0,0,42,0,0,0,0,0,0,0
"4fad8f0426e8eda5207b78b5e76cc3c4",131,13,0,0,52,147,126,0,2392,0,1277,0
"0a21726cd4952a96635576553da67787",224,0,150,1698,736,0,453,0,168,275,2463,49
"8ace2448befe36dc39fce9ad15a39983",0,0,0,0,0,0,0,0,0,0,0,0
"46412791f6227728741db1fac098dc23",71,0,0,16,0,0,0,0,55,0,1980,9
"d3bd11fd8f3cbbc4c15c2aec85761131",0,0,0,0,0,0,0,0,0,0,75,0
"00d4ed68e73301c40a34c5f4e70aa342",0,0,0,0,0,0,0,0,0,0,0,39
"baa3ee92750f65a79400a3496948666f",0,0,0,0,0,0,0,0,0,0,0,0
"f32f77adf5200e164c25fc750b1316b9",0,0,0,0,0,0,0,0,0,0,0,0
"d150d6fad77ceca71da50f4a347bbdee",0,0,0,0,0,0,0,0,0,0,0,0
"df37b62e507e32409df4885c1ad2ce14",0,0,0,0,0,0,0,0,0,0,0,0
"bd4bbed1242b5b5d6432dd913258b691",0,0,0,0,0,0,0,0,0,0,0,0
"9ba6fd3e1c6b40ecd8c1dc35a6836c79",0,0,0,0,0,0,0,0,0,0,0,0
"e6254f3b5a16e0b168db873d5ca3b1ca",0,0,0,0,0,0,0,0,0,0,0,0
"fb3bfadb9daebbae195a2fe1dfe318e6",0,0,0,0,0,0,0,0,0,0,158,0
"0b9121c5f4cc15f1ff7b5509946137e6",0,0,0,0,0,0,0,0,0,0,0,0
"87f48a9d781c3b72abf3fa92f896f2f7",150,0,0,0,97,0,0,0,0,0,0,0
"b7d858871c56b4130c6556ce3f29fd20",0,0,0,0,0,0,0,0,0,0,0,0
"d81947531814a1fe71c12a67d3cc5c2f",0,0,0,0,0,0,0,0,0,0,0,0
"da6a7cba87e0895b9cbe6037b9bd8b3b",0,0,0,34,21,0,14,27,0,0,29,0
"675c847bccbc53942ebb7b8cbb4efc4d",45,36,20,0,0,0,0,0,32,0,0,0
"f33bfd8864ae5b60963b8b929de87561",0,0,0,0,0,0,0,0,0,0,0,0
"77fc8c8486167edc801c5043afff5886",0,0,0,0,0,0,0,0,0,0,0,0
"9441ebd7d976e935bd4f3f85ad6b9cd5",0,0,0,0,0,0,0,0,0,0,0,0
"c890ba30bf6a001d11929e3d668b59ad",0,0,0,0,0,0,0,0,0,0,0,26
"26931bf4bb8670b19ce17f4ac2eb65d2",0,0,0,0,0,0,0,0,0,0,0,0
"712f610d95151fd7db44bd3a13e3ad15",0,0,0,0,0,0,0,0,0,0,0,0
"32f8fd11d2bee278d609a1d4ab767554",0,0,0,0,0,0,0,0,0,0,0,0
"6d2fe5e4cd55c89c512f6cd275e19a0f",0,0,0,0,0,0,0,0,0,0,42,0
"116b000bcdd330f4319bda48bd997abf",0,0,0,0,0,0,0,0,0,0,0,0
"23b8bac0a94108cbf1f74ab89aec965b",0,0,0,0,2,0,0,0,0,0,0,0
"f0801df3310d0f06c07a96b1a2542be0",0,0,0,0,0,0,0,0,0,0,0,0
"cbef40f459197faa8de7bba6a4764a34",0,0,0,0,0,0,0,0,0,0,0,0
"3f12a0e59a953a1871265f6f4fa579f9",0,0,0,0,0,0,0,0,0,0,0,0
"84f78f5ce68484506a620a9c8d2e2acf",0,0,7,0,17,0,28,0,0,0,0,12
"510fc7ce79e4b9d729b7c819bf9e11c0",0,0,0,0,0,0,0,0,3,0,0,0
"49c9253965d56bb180d4f561cf8d84e8",0,0,0,0,0,0,0,0,0,0,0,0
"4cddc40fdec49f4b0ff037423eb87508",0,0,0,3,0,0,0,0,0,0,0,0
"69e34725046181e6cd5f33d9fb348af5",0,0,0,0,0,0,0,0,0,0,2,0
"e63ffa8bebe9df680f70be3bef91764a",0,0,190,0,0,0,65,3400,0,363,0,0
"f2962123bb8adaeb1b746ef8a4f7f836",3220,0,672,2270,3141,4138,5500,4933,771,1422,3084,432
"53574d96bc87bc4627cabdfd91d76f6b",0,0,0,0,0,0,0,0,0,0,0,0
"83e4a73079b72096bd9977dd7432d6c6",0,0,0,0,0,0,118,0,0,0,73,0
"456161d143404951deb16068641baa6a",0,0,0,0,0,0,0,0,0,0,0,0
"899befdfdfdd08fe72df5def771a14b3",0,0,0,0,0,579,0,0,0,0,0,0
"8e6a7b11fe615c61f76969d70ec45683",0,0,0,0,92,0,0,0,0,0,0,0
"b72f553aef14f8ef9f2765e42c6b2d7a",0,0,0,0,0,0,47,0,0,70,0,0
"224102d609b83a172b11bd9115107f16",0,0,0,0,0,237,0,0,0,0,0,0
"7da9ea0ec3649a2fbfa3741ba3fa5f9d",0,0,0,0,0,0,0,0,0,0,0,0
"8d781fd45124d1e47ca5d12f6d6d4867",0,0,0,0,0,0,0,0,0,0,0,0
"1a794428f534b81a86ddc63868ee5c79",0,0,0,0,0,0,0,0,0,0,0,0
"f7abb471a96bfa8f310a879a94b3c40c",0,0,0,0,0,0,0,0,0,0,0,0
"6539cdf264635d79b1ab259dd5b3b4f0",0,0,0,0,0,0,0,0,0,0,0,0
"0e4b96294f2a2985a5d7fd8c87f7ce6d",0,0,0,0,0,0,0,0,0,0,0,0
"3fcc25b2980ff3e947b58c198106dd41",0,0,0,0,0,0,0,0,0,0,0,0
"9ec111134b7f857a1d270b470fbf331e",0,0,0,0,0,0,29,0,0,0,0,0
"c93b4ca3ad027d51d34b0a709e5c8e7d",0,0,0,0,0,0,0,0,0,0,0,0
"740d90e488e102d30a456e0be1424529",0,0,0,0,0,0,0,0,0,0,0,0
"05af8312a092f309b269c945433c8793",0,0,0,0,0,0,0,0,0,0,0,0
"38b148b47cb8a9c1f05e1acbd1aede41",0,0,0,0,0,0,0,0,0,0,0,0
"660d9218a1dcdd1a2c76772bd32a09e3",0,0,0,0,0,0,0,0,0,0,0,0
"534a87137f5cda736f0a6c2b284feeb4",0,0,0,0,0,0,0,0,0,0,0,0
"e66c2bc92d5b9f582ab65e1b557566d0",0,0,0,0,0,0,0,0,0,0,0,0
"bf35f4019fc184fb342f34cc388ae989",0,21,5,0,0,0,0,0,0,0,0,0
"700ccbd453cc5809e234cee03ff7441d",0,0,0,0,0,0,0,0,0,0,0,0
"b0c70610dfa252ae7d04f3c8703cc487",0,0,0,0,0,0,0,0,0,0,0,0
"2b469462420172d5e0cbd09f01470284",0,0,0,0,0,0,0,0,0,0,0,0
"ff6211d2bd501975fa7f02a82e9941ce",0,0,0,0,0,0,0,0,0,0,0,0
"cb1c6b2a65a978f942ed88a1a18a647d",0,0,0,0,0,0,0,0,0,0,0,0
"98489635e6eb9f5984ffa6a09550122b",0,0,0,0,0,0,0,0,0,0,0,0
"1e0534062d4980cfbf7b2f7527fd3096",0,0,0,0,0,0,0,0,0,0,0,0
"ea74b1e5fc10fb3a74f2825d6865d740",0,0,0,0,0,0,0,0,0,0,4,0
"139e832c69fb177d68bb0f5cb8594845",0,0,0,0,0,0,0,0,0,0,0,0
"26973a1da4599bd0f344655b62b2cc23",0,0,0,0,21,0,20,0,0,0,0,0
"c3a43e9dca56be145dbc08c893128e6f",0,0,0,0,0,0,0,0,0,0,0,0
"70bd26abb09389c3b2492d86d40898cf",0,0,0,0,0,0,0,0,0,0,0,0
"2c7f71a361403e18f79bf7f4cf3afb87",0,0,0,0,0,0,0,0,0,0,0,36
"64ad135aaec0335a493399455ed5dd14",2,0,0,0,0,0,0,0,7,0,0,0
"aebd127d4e002a91e72bae5f02ee1463",0,0,0,0,0,0,0,0,0,0,0,0
"2761fe77546517a10b961f626feca59d",163,0,7,25,103,0,131,0,0,0,301,0
"98aa7bb57619ef31b3aab7b8282b3451",0,0,0,0,61,0,59,0,0,2,37,0
"6e3e062d65c1b047950a2492118eb70b",0,0,0,0,0,0,0,0,0,0,0,23
"6128c061f0201a07dcabe9199a0ba49e",0,0,0,0,0,0,0,0,0,0,0,0
"3f6e11d7ef2402e8727aa06d29ce24c1",0,0,0,0,0,0,0,0,0,0,0,0
"95bad341693ce7adba4d4fe762e8f5b2",0,0,0,0,0,0,3,0,0,0,0,0
"4ab6728d229767ccc5829b0a3b8f139f",0,0,0,0,0,0,0,0,0,0,0,0
"d0927320ada446780d3e125cc548c9ac",0,0,0,0,0,0,0,0,0,0,0,0
"92492a89b08d1e29404c35ba08f01f68",0,0,0,0,2,0,0,0,0,0,0,0
"2a1a15bcb8089042a9bd96f11747c526",0,0,0,0,69,0,0,0,0,0,0,0
"ab65dc9c8cb103472dad8df3ad2206a1",0,0,78,101,148,0,0,0,0,0,121,0
"8e8a8f851ead3233a07f8cda15142885",0,0,0,0,0,0,0,0,0,0,0,0
"7a2968d1b152960ec255d04de612f814",2233,0,0,0,0,0,0,0,0,0,0,0
"9e27a916ef961771585cc4ef459ca828",0,13,0,0,0,0,0,0,0,0,0,0
"adf49f9046706086b08d4e1eda46525c",0,0,0,0,0,0,0,0,0,0,0,0
"714a83fc11043748846e425804b7603c",0,0,0,0,0,0,0,0,0,0,0,0
"1c5ca49e54e39bfb1568413868a6641b",0,0,0,0,0,0,0,0,0,0,0,0
"c03cfb7503bfe54dba9844581c0da167",0,0,0,0,0,0,0,0,0,0,0,0
"ad027c2e39f567f099ca4fe43e6bcd80",0,0,0,0,0,0,0,0,0,0,0,0
"fbb87e6cb86026e699477563fd6291aa",0,0,0,0,0,0,0,0,0,0,0,0
"891ec38db10d8b723d730ef81aa400cb",0,0,0,0,0,0,0,0,0,0,0,0
"72827c994953a87988555b1752c3d2fe",0,0,0,0,0,0,0,0,0,0,0,0
"8472a38a835527bbe16679f89f9e0bc8",0,0,0,0,0,0,0,0,0,0,0,0
"37125fc6b7326af0e29ddb765d441528",0,4,0,0,0,0,0,0,0,0,0,0
"6c8eb978a6a72481eb1f4bfdfdc51a30",0,0,0,0,0,0,0,0,0,0,0,0
"7beb3425166d777b19384223e61aa36a",0,0,0,0,0,0,0,0,0,0,0,0
"c885cae6737b13185173764ee4fde3cd",0,0,0,0,0,0,0,0,0,0,0,0
"3df21e281098635b028cc08fb4c77017",0,0,0,0,0,0,0,0,0,0,0,0
